epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.392,2.40818,2.77659,2.05953,0.36682,0.1363,0.05984,0.02374,2.44193,3.14478,2.41846,0.000542114,0.000542114,0.000542114
2,445.973,2.05835,2.15579,1.76556,0.4474,0.15311,0.13293,0.06641,2.19986,2.4341,1.94853,0.00107604,0.00107604,0.00107604
3,661.131,1.98926,2.09665,1.7188,0.36775,0.0985,0.13424,0.06253,2.24631,2.62651,1.90152,0.00158797,0.00158797,0.00158797
4,867.174,1.91185,2.11094,1.70563,0.24546,0.29273,0.21441,0.09958,2.06529,2.09734,1.82117,0.00156798,0.00156798,0.00156798
5,1082.01,1.8506,2.00128,1.65364,0.25579,0.19356,0.17526,0.08506,2.07171,2.15622,1.80061,0.00153497,0.00153497,0.00153497
6,1304.91,1.85441,2.02951,1.63358,0.26223,0.29545,0.21449,0.10194,2.05302,2.0664,1.88968,0.00150197,0.00150197,0.00150197
7,1520.28,1.81218,2.00243,1.63634,0.23604,0.30208,0.18412,0.08852,2.00428,2.12623,1.75479,0.00146896,0.00146896,0.00146896
8,1740.63,1.81344,1.9879,1.62176,0.26083,0.32056,0.23838,0.11078,1.96638,2.06262,1.78185,0.00143595,0.00143595,0.00143595
9,1958.87,1.76952,1.95766,1.60545,0.28033,0.23785,0.20571,0.10135,1.9936,2.05184,1.76315,0.00140295,0.00140295,0.00140295
10,2169.56,1.74163,1.90238,1.57581,0.24104,0.32434,0.17865,0.08794,2.05269,2.17015,1.8522,0.00136994,0.00136994,0.00136994
11,2390.07,1.7343,1.93094,1.57844,0.27357,0.19433,0.19609,0.09477,2.06535,2.12288,1.82429,0.00133693,0.00133693,0.00133693
12,2613.65,1.69004,1.94513,1.57527,0.34338,0.21017,0.18296,0.0888,1.99803,2.09826,1.74795,0.00130393,0.00130393,0.00130393
13,2820.76,1.68576,1.89451,1.55052,0.22202,0.29219,0.19351,0.09922,1.9665,1.99687,1.67813,0.00127092,0.00127092,0.00127092
14,3036.91,1.68666,1.90898,1.56181,0.2269,0.20139,0.19054,0.09569,1.9392,2.03394,1.75447,0.00123791,0.00123791,0.00123791
15,3257.23,1.67805,1.88574,1.54895,0.2505,0.21082,0.20197,0.10465,1.9113,2.02286,1.73571,0.00120491,0.00120491,0.00120491
16,3467.35,1.6534,1.87256,1.53599,0.22474,0.19855,0.16987,0.092,1.92916,2.08644,1.70301,0.0011719,0.0011719,0.0011719
17,3676.47,1.6703,1.87109,1.53606,0.19371,0.22553,0.1869,0.09688,1.87351,2.01987,1.72568,0.00113889,0.00113889,0.00113889
18,3890.79,1.66937,1.85219,1.54813,0.21496,0.30814,0.18654,0.09447,1.95792,2.19175,1.7943,0.00110589,0.00110589,0.00110589
19,4102.71,1.63353,1.84008,1.52038,0.24056,0.31146,0.22523,0.11752,1.88596,1.97759,1.67985,0.00107288,0.00107288,0.00107288
20,4314.99,1.63189,1.85904,1.52006,0.23459,0.19448,0.18135,0.09513,1.91427,2.05944,1.71461,0.00103987,0.00103987,0.00103987
21,4534.72,1.63924,1.83906,1.52688,0.27571,0.20295,0.20105,0.10575,1.93292,2.01171,1.76827,0.00100687,0.00100687,0.00100687
22,4743.01,1.63419,1.83796,1.51523,0.2373,0.20003,0.19388,0.10081,1.92225,2.06043,1.68112,0.000973861,0.000973861,0.000973861
23,4960.39,1.62374,1.80668,1.51326,0.29198,0.17954,0.19623,0.10152,1.92721,2.0938,1.73091,0.000940855,0.000940855,0.000940855
24,5171.07,1.5955,1.79361,1.51071,0.23551,0.22182,0.19886,0.10355,1.89874,2.04648,1.70574,0.000907848,0.000907848,0.000907848
25,5392.98,1.59604,1.78555,1.50635,0.24881,0.25841,0.19985,0.10419,1.97273,2.08019,1.74157,0.000874842,0.000874842,0.000874842
26,5606,1.60145,1.78133,1.49487,0.28646,0.33672,0.21951,0.11316,1.92297,2.04917,1.74096,0.000841835,0.000841835,0.000841835
27,5819.23,1.57377,1.76011,1.48722,0.20785,0.20808,0.18858,0.09705,1.93531,2.04549,1.75671,0.000808828,0.000808828,0.000808828
28,6033.87,1.58429,1.74036,1.46738,0.19593,0.22583,0.18076,0.09697,1.87691,2.04184,1.66697,0.000775822,0.000775822,0.000775822
29,6239.2,1.56147,1.76105,1.47687,0.1933,0.28191,0.20285,0.10755,1.9003,2.01805,1.73569,0.000742815,0.000742815,0.000742815
30,6454.6,1.55113,1.72535,1.46459,0.23293,0.19094,0.19781,0.10539,1.85414,2.03791,1.65675,0.000709809,0.000709809,0.000709809
31,6680.53,1.57386,1.73493,1.46354,0.25305,0.2145,0.19648,0.10552,1.85991,2.02412,1.68461,0.000676802,0.000676802,0.000676802
32,6894.74,1.54864,1.70991,1.4654,0.23629,0.17529,0.18982,0.10388,1.86783,2.04201,1.69503,0.000643795,0.000643795,0.000643795
33,7108.37,1.5304,1.71058,1.46158,0.23542,0.22528,0.20098,0.10619,1.89784,2.06343,1.70842,0.000610789,0.000610789,0.000610789
34,7322.39,1.52427,1.70486,1.46078,0.26538,0.25196,0.23189,0.122,1.86285,1.93028,1.7056,0.000577782,0.000577782,0.000577782
35,7532.14,1.5296,1.68036,1.4512,0.23137,0.25373,0.21418,0.11263,1.87054,1.96018,1.70505,0.000544776,0.000544776,0.000544776
36,7741.91,1.51436,1.69306,1.44588,0.23382,0.21829,0.19475,0.10361,1.88645,2.0347,1.68244,0.000511769,0.000511769,0.000511769
37,7958.74,1.52062,1.68604,1.45441,0.19653,0.24109,0.19722,0.10534,1.85437,2.01604,1.69852,0.000478762,0.000478762,0.000478762
38,8169.08,1.5207,1.68561,1.44423,0.23316,0.22792,0.19495,0.10237,1.84999,2.01869,1.68332,0.000445756,0.000445756,0.000445756
39,8383.08,1.50518,1.66572,1.44596,0.22387,0.24444,0.20605,0.11018,1.85957,1.98505,1.68473,0.000412749,0.000412749,0.000412749
40,8592.83,1.48437,1.637,1.42375,0.23261,0.21931,0.19941,0.10554,1.87554,2.00014,1.69137,0.000379743,0.000379743,0.000379743
41,8801.68,1.46862,1.74786,1.46075,0.27314,0.25223,0.23522,0.1255,1.82672,1.96603,1.67389,0.000346736,0.000346736,0.000346736
42,9016.46,1.47577,1.70264,1.44915,0.222,0.21728,0.19631,0.10376,1.85368,2.05567,1.69648,0.000313729,0.000313729,0.000313729
43,9229.59,1.45375,1.66545,1.43474,0.23477,0.21116,0.2018,0.10747,1.84854,2.04423,1.68838,0.000280723,0.000280723,0.000280723
44,9434.1,1.44512,1.66363,1.43842,0.2023,0.25756,0.19417,0.10337,1.82526,2.03789,1.67468,0.000247716,0.000247716,0.000247716
45,9642.9,1.43516,1.66343,1.44193,0.24007,0.22561,0.22013,0.11685,1.81162,1.98796,1.67803,0.00021471,0.00021471,0.00021471
46,9853.2,1.42422,1.64219,1.43459,0.22607,0.21309,0.19998,0.10518,1.84138,2.036,1.67684,0.000181703,0.000181703,0.000181703
47,10064.3,1.41076,1.63528,1.44108,0.22562,0.22217,0.20499,0.11027,1.81626,2.0281,1.67537,0.000148696,0.000148696,0.000148696
48,10272.1,1.41323,1.61806,1.43039,0.22755,0.23554,0.20752,0.11143,1.81727,2.02913,1.68219,0.00011569,0.00011569,0.00011569
49,10480.4,1.41319,1.62132,1.42612,0.24175,0.23845,0.21728,0.11574,1.81595,2.00699,1.67981,8.26832e-05,8.26832e-05,8.26832e-05
50,10690.7,1.39861,1.614,1.4136,0.22119,0.22721,0.20307,0.10843,1.82504,2.03332,1.68056,4.96766e-05,4.96766e-05,4.96766e-05
